related_country_risk_id,related_country_risk_title,susceptibility_summary,evidence_quote,confidence,PROJ_ID_IB,citation_pdf_url
DJI_R9,Refugee hosting pressures amid recurrent droughts and limited resources,"Project outcomes for refugee-inclusive training (especially ICT-related modalities) may be disrupted by access/connectivity constraints in remote refugee-hosting locations where many intended refugee beneficiaries live, potentially limiting delivery and participation.",The physical constrains and lack of access to internet in remote areas such refuges hosting villages of Ali-Addeh and Holl-Holl are impeding provision of ICT related training.,0.74,P175483,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=IBArchive-38b35d89-2c5c-4636-ab7e-0ba662b95a5f.pdf
DJI_R2,April 2026 elections may compound fragility amid domestic instability and spillover concerns,"The project’s refugee-related policy and systems work has previously been subject to delays from shifts in the political landscape, suggesting that heightened political instability around the electoral period could disrupt implementation timelines for reforms linked to refugee integration.","The government showed willingness and openness to improve the refugee’s protection framework despites changes in the political landscape and delays imposed by the socio-economic impact of COVID-19, such as the integration of the health systems and the inclusion of refugees in the prevention and response protocols.",0.62,P175483,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=IBArchive-38b35d89-2c5c-4636-ab7e-0ba662b95a5f.pdf
DJI_R5,Succession and political transition risks amid erosion of democratic institutions,"The project relies on improved cross-ministry coordination and acknowledges existing coordination failures in the training landscape; governance disruption or institutional instability could therefore undermine planned coordination mechanisms (e.g., sector working groups, governance reforms) needed for implementation and outcomes.","For example, revisions to agriculture training courses cannot be undertaken without the participation of the Ministry of Agriculture, and other similar coordination failures currently common in the Djiboutian training landscape.",0.58,P175483,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=IBArchive-38b35d89-2c5c-4636-ab7e-0ba662b95a5f.pdf
DJI_R9,Refugee hosting pressures amid recurrent droughts and limited resources,"The project’s emergency-response design explicitly includes refugees, migrants, and IDPs among intended beneficiaries, while the PAD notes that displacement flows already place substantial demands on public services—potentially straining service delivery capacity and complicating beneficiary reach during activations.","The displacement of populations from its surrounding countries is a significant concern... Officially, Djibouti hosts close to 32,000 refugees and asylum seekers from Somalia, Ethiopia, Eritrea, and Yemen, the equivalent of 3 percent of its population... The influx of migrants and displaced persons places substantial demands on Djibouti's public services and local communities.",0.72,P509082,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=P509082-335ace4f-041e-4d8b-8b24-01c7157e4078.pdf
DJI_R8,Terrorism and regional conflict exposure linked to al-Shabaab and external deployments,Project activities rely on rapid procurement and delivery of essential supplies and mobilization of personnel; the PAD notes the country’s vulnerability to regional conflicts and that prior crisis responses faced logistical issues—creating a plausible disruption channel for emergency logistics and timely implementation during a CERP activation.,"This growth model makes it vulnerable to external shocks from global maritime transport, regional conflicts, and events in its Ethiopia... However, these projects faced challenges such as disconnect between urgent needs and the pace of execution due to complex administrative procedures, lack of capacity, and logistical issues.",0.55,P509082,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=P509082-335ace4f-041e-4d8b-8b24-01c7157e4078.pdf
DJI_R5,Succession and political transition risks amid erosion of democratic institutions,"Implementation may be disrupted by limited institutional capacity and staffing/funding gaps in key coordinating entities, compounded by the PIU’s lack of prior Bank experience and reliance on existing systems during emergencies.","Institutional Capacity for Implementation and Sustainability risk is High. The project will be implemented by a PIU that will work for the first time with the Bank, and despite the peculiar design features of the project (its zero amount until activation), project implementation will depend heavily on existing systems. As a result, an adequate amount of capacity building support for CERP activation and implementation will need to be provided... Other national level authorities like the SEGRC are in place but lack the necessary funding and staff.",0.7,P509082,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=P509082-335ace4f-041e-4d8b-8b24-01c7157e4078.pdf
DJI_R9,Refugee hosting pressures amid recurrent droughts and limited resources,"In target areas, continued refugee/migrant inflows and already strained service delivery systems could undermine the project’s ability to achieve intended improvements in access to basic services and safety nets (coverage/quality), since the PAD frames these pressures as a core contextual constraint in the same locations the project will support.","These include underserved regions such as Dikhil and refugee-hosting locations facing pressures from population inflows, strained public services, and climate- related vulnerabilities.",0.7,P506969,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-87c444de-4797-4bf9-b654-4932a7fb0112.pdf
DJI_R1,Escalating sectarian violence in Djibouti City threatens social cohesion,"Project benefits and outcomes (cash transfers, registry enrollment, and community-driven investments) could be disrupted by local social tensions, including disputes over who is selected to receive benefits and perceived inequities, because the PAD explicitly flags risks of social conflict, elite capture, and exclusion arising from targeting/selection processes.","The Social risk is rated as Substantial. Component 1 activities, such as Cash for Nutrition, Productive Inclusion, strengthening the social registry, and distributing community resilience kits, may present risks of elite capture, social conflict, and excluding vulnerable individuals like women, young mothers, and persons with disabilities due to inadequate beneficiary targeting.",0.72,P506969,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-87c444de-4797-4bf9-b654-4932a7fb0112.pdf
DJI_R7,Afar grievance and mobilization risk deepening conflict and marginalization dynamics,"In rural/refugee-hosting target areas, the project’s community-driven selection of infrastructure and livelihood support is susceptible to being undermined by local marginalization dynamics and grievances, because the PAD emphasizes social cohesion objectives but also highlights risks of elite capture and social conflict linked to beneficiary targeting and local decision-making.","The participatory development approach is expected to strengthen resilience and social cohesion in the target areas. The project will facilitate inclusive planning through a community-driven process to ensure active participation by all segments of the local communities, responding to the unique development challenges and needs of vulnerable, women, refugees and marginalized groups in the formulation of priorities, the allocation of budget and the monitoring of outcomes at community level.",0.64,P506969,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-87c444de-4797-4bf9-b654-4932a7fb0112.pdf
DJI_R2,April 2026 elections may compound fragility amid domestic instability and spillover concerns,"The PAD flags substantial political/governance risk and anticipates implementation hurdles from an “evolving governance landscape” and difficulty aligning diverse stakeholder interests, which could disrupt coordination and decision-making during periods of heightened political instability.","The political and governance risk is rated substantial due to the complexities of managing diverse interests and the evolving governance landscape. While Djibouti has made notable progress in political and institutional reforms, challenges related to coordination and alignment of priorities across various stakeholders, both at the community and central levels, may present implementation hurdles.",0.66,P506969,https://spfilesapi.worldbank.org/services?I4_SERVICE=FILE_URLS2&SITE_KEY=DRPSINT&I4_DOCID=BOSIB-87c444de-4797-4bf9-b654-4932a7fb0112.pdf
