risk_id,title,summary,themes,keywords,locations,severity,time_horizon
LBN-2026-01,Active Israeli-Hezbollah Hostilities Continue Despite Fragile Ceasefire,"Fighting between Israel and Hezbollah re-erupted on 2 March 2026 following U.S.-Israeli strikes on Iran, with Israel launching a major ground invasion and aerial bombardment campaign targeting southern Lebanon, Beirut's southern suburbs, and the Bekaa Valley. A U.S.-brokered ceasefire took effect on 16 April 2026 and was extended to mid-May, but remains nominal in the south: since its announcement, at least 380 additional people have been killed per UNHCR (May 2026), and Israel has continued near-daily airstrikes and issued new forced evacuation orders for towns north of the Litani River. As of early May 2026, the total death toll since 2 March stands at over 2,846, with more than 8,000 injured (Al Jazeera, May 2026). A third round of direct Lebanon-Israel talks convened in Washington on 14-15 May 2026, though large gaps remain: Lebanon seeks a full ceasefire and Israeli withdrawal, while Israel insists on Hezbollah's disarmament as a precondition (PBS NewsHour / AP, May 2026).","['security', 'political']","['Hezbollah', 'Israel', 'ceasefire violations', 'ground invasion', 'aerial bombardment', 'Litani River', 'Washington talks', 'forced evacuation']","['southern Lebanon', 'Beirut southern suburbs', 'Bekaa Valley', 'Nabatieh', 'Bint Jbeil', 'Tyre', 'Sidon']",high,current
LBN-2026-02,Hezbollah Disarmament Process Paralyzed by Renewed Conflict,"Lebanon's government banned Hezbollah's military activities on 2 March 2026 and instructed the Lebanese Armed Forces (LAF) to accelerate disarmament by 'any means necessary,' but the state has done little to enforce this in practice per ICG CrisisWatch (March 2026). Hezbollah has remained defiant, and the group's resumption of active fighting has halted the LAF's multi-phase disarmament plan, including the second phase covering the area north of the Litani to the Awali River (Al Jazeera, March 2026). A senior NPR interview with a Hezbollah field commander (April 2026) indicated the group's real arsenal was largely untouched during phase one, with real weapons hidden while dummy or obsolete stocks were surrendered. The Lebanese government is caught between intense U.S. pressure to disarm Hezbollah and the political risk of a pitched confrontation that could trigger Shiite desertions from the army or even civil conflict (ICG / Foreign Policy, May 2026).","['governance', 'security', 'political']","['Hezbollah disarmament', 'Lebanese Armed Forces', 'state monopoly on arms', 'Litani River', 'U.S. pressure', 'civil conflict risk', 'LAF phase two', 'sectarian confrontation']","['southern Lebanon', 'Bekaa Valley', 'nationwide']",high,current
LBN-2026-03,Israeli Occupation of Southern Lebanon and UNIFIL Security Vacuum,"Israel has established a six-plus-mile buffer zone in southern Lebanon declared 'indefinite,' with five Israeli military divisions remaining inside the country and dozens of villages demolished along the border (CS Monitor, May 2026). UNIFIL's mandate has been terminated by the UN Security Council effective December 2026, and the mission is already drawing down personnel. China's UN ambassador publicly called in early May 2026 to revisit the UNIFIL withdrawal decision, warning of a 'lesser fire' rather than a genuine ceasefire (Al Jazeera, May 2026). At least six UNIFIL peacekeepers have been killed since March 2026, and Lebanon is urgently exploring alternatives with international partners ahead of the December deadline (Arab News, May 2026). The combination of ongoing Israeli occupation and the imminent UN withdrawal creates a serious security vacuum risk for development operations and the LAF's sovereignty extension mission.","['security', 'governance']","['UNIFIL withdrawal', 'Israeli buffer zone', 'southern Lebanon occupation', 'Blue Line', 'LAF deployment', 'security vacuum', 'peacekeeper casualties', 'UNSC resolution 1701']","['southern Lebanon', 'Naqoura', 'Litani River buffer zone']",high,0-3m
LBN-2026-04,Mass Internal Displacement and Blocked Returns,"Since 2 March 2026, over 1.8 million people have been uprooted across Lebanon, with over 280,000 also crossing into Syria, per UNHCR (May 2026). Despite the April 16 ceasefire, UNHCR warns that displacement continues: civilians in the south and parts of the Bekaa Valley 'are living with the same fear for their lives as before the ceasefire and more are being forced to flee,' with Israeli bans on return to occupied areas and ongoing demolitions preventing resettlement (UNHCR Representative in Lebanon, May 2026). As of late April, approximately 123,000 people remain in collective shelters, most at full capacity. Families who attempted to return to Nabatieh and Tyre found their homes destroyed and neighborhoods unsafe, forcing secondary displacement (UNHCR/UN News, May 2026).","['displacement', 'humanitarian']","['internal displacement', 'IDP', 'collective shelters', 'forced returns', 'Nabatieh', 'Tyre', 'Bekaa Valley', 'cross-border displacement Syria']","['southern Lebanon', 'Bekaa Valley', 'Nabatieh', 'Tyre', 'Beirut', 'Syria border crossing']",high,current
LBN-2026-05,"Acute Food Insecurity Driven by Conflict, Displacement, and Funding Gaps","A joint IPC analysis by FAO, WFP, and the Lebanese Ministry of Agriculture (April 2026) projects that 1.24 million people - nearly one in four of the population analyzed - will face Crisis (IPC Phase 3) or worse food insecurity between April and August 2026. This marks a sharp deterioration from 874,000 in early 2026, driven by renewed conflict, mass displacement, market disruptions, and rising food and fuel prices. The WFP Market Functionality Index (MFI) for El Nabatieh and the south collapsed from 7.3 to 1.7 between September 2025 and March 2026 (IPC, April 2026). Refugee populations are disproportionately affected: 36 percent of Syrian refugees and 45 percent of Palestinian refugees are classified at Crisis or worse, and the Lebanon Flash Appeal remains only 38 percent funded as of May 2026 (UNHCR/WFP, May 2026).","['humanitarian', 'economy']","['food insecurity', 'IPC Phase 3', 'WFP', 'FAO', 'market disruption', 'refugees', 'humanitarian funding gap', 'El Nabatieh', 'flash appeal']","['El Nabatieh', 'Bint Jbeil', 'Marjayoun', 'Tyre', 'Baalbek-Hermel', 'Akkar', 'nationwide']",high,current
LBN-2026-06,Healthcare System Collapse from Attacks on Medical Infrastructure,"From 2 March until the April ceasefire, WHO reported near-daily attacks on healthcare totaling 147 incidents, leaving over 100 health workers dead and 233 injured, with at least six hospitals forced to close (MSF / WHO, April 2026). By early April, Lebanon's Ministry of Public Health recorded 53 medical workers killed and 87 ambulances or medical centers destroyed. The health system - already weakened by the 2019 financial crisis and 2024 conflict - faces critical supply shortages, overwhelmed trauma services, and mass casualty protocols activated nationwide (WHO / UN News, April 2026). Healthcare attacks have continued despite the ceasefire; in early May 2026, two Red Cross paramedics were killed responding to callouts in southern Lebanon (IFRC/UN News, May 2026). The closure of 47 primary health care centers and five hospitals in the south and Beirut's southern suburbs by March 11 had already severely curtailed access in conflict-affected areas (OCHA, March 2026).","['health', 'humanitarian', 'security']","['healthcare attacks', 'hospital closures', 'medical workers killed', 'WHO', 'MSF', 'primary health centers', 'trauma services', 'IHL violations']","['southern Lebanon', 'Beirut southern suburbs', 'Nabatieh', 'Tyre', 'Sidon', 'Baalbek']",high,current
LBN-2026-07,Rising Sectarian Tensions and Intercommunal Friction over Displaced Shiite Population,"UNHCR warned on 27 April 2026 that social and intercommunal tensions are rising in several areas of Lebanon as Shiite displacement has exposed deep sectarian fault lines. Non-Shiite communities - predominantly Christian and Druze - have been reluctant to host displaced Shiites, fearing Israeli retaliation targeting assumed Hezbollah affiliates, with reports of evictions, price gouging, and landlords requiring Hezbollah affiliation checks (Times of Israel / Reuters, April 2026). A planned displacement center in Beirut's Karantina district was cancelled after protests in March 2026 that used civil war-era sectarian slogans (Al Jazeera, April 2026). Lebanese observers, ex-fighters, and a senior diplomat interviewed by Reuters (April 2026) noted that the current situation echoes the social fractures preceding the 1975-1990 civil war, with one diplomat describing the ceasefire text as 'a detailed recipe for internal confrontation.'","['social', 'security', 'displacement']","['sectarian tensions', 'Shiite displacement', 'intercommunal friction', 'civil war echoes', 'Karantina', 'evictions', 'Hezbollah affiliation', 'host communities']","['Beirut', 'Karantina', 'Sidon', 'southern Lebanon', 'nationwide']",high,current
LBN-2026-08,Government Institutional Fragility and Contested Lebanon-Israel Negotiations,"The Lebanese government has pursued direct negotiations with Israel - the first in decades - facilitated by the U.S., with a third round of talks held in Washington on 14-15 May 2026. Hezbollah firmly opposes direct negotiations and is excluded from the process, deepening the government-militia rift and raising domestic political risks for Lebanon's leadership (PBS NewsHour / AP, May 2026). Foreign Policy (May 2026) argues that U.S.-mediated pressure is discrediting Lebanese leaders by forcing negotiations on Israel's terms and pushing Lebanon toward political crisis. Lebanese parliamentary elections were due in May 2026 but their status under active conflict conditions is unclear. Lebanon's President Aoun declined to meet Netanyahu directly, citing the internal repercussions such contact could cause (PBS NewsHour, May 2026).","['governance', 'political']","['Lebanon-Israel talks', 'Hezbollah opposition', 'parliamentary elections', 'Nawaf Salam', 'Joseph Aoun', 'U.S. mediation', 'ceasefire negotiations', 'Simon Karam']","['Beirut', 'Washington D.C.', 'nationwide']",high,current
LBN-2026-09,Macroeconomic Deterioration and Collapse of Pre-War Recovery,"Lebanon's nascent post-2024 economic rebound has been reversed by the 2026 conflict. The World Bank (January 2026) had identified cautious recovery and progress on reforms, but now projects a GDP contraction in 2026 replacing earlier recovery expectations, with flight disruptions halting tourism - a key growth engine - and large-scale displacement weighing on consumption and investment (World Bank, 2026). The Lebanese pound has already lost 98 percent of its value since 2019, and the banking sector remains insolvent (World Bank country page, 2026). Rising oil prices and freight rates are stoking inflation while emergency and reconstruction spending - estimated at $11 billion after the 2024 conflict alone - is increasing fiscal pressure far beyond the approved budget. The IPC (April 2026) projects worsening humanitarian funding shortfalls from May 2026 onward, further limiting household coping capacity.","['economy', 'humanitarian']","['GDP contraction', 'economic recovery reversal', 'Lebanese pound depreciation', 'banking crisis', 'reconstruction costs', 'tourism collapse', 'inflation', 'fiscal pressure']","['nationwide', 'Beirut']",high,0-3m
LBN-2026-10,Humanitarian Access Constraints and Critical Underfunding of Response,"UN humanitarian convoys delivering aid to areas south of the Litani River under Israeli military control face severe access challenges, with UNHCR describing access as 'a challenge' and aid teams unable to reach many hard-to-reach pockets (UN News, May 2026). The Lebanon Flash Appeal launched in March 2026 for $308.3 million (OCHA) is critically underfunded at only 38 percent funded as of early May 2026, severely limiting life-saving assistance across shelter, food, health, and protection sectors (UNHCR, May 2026). OCHA reports that renewed displacement orders and airstrikes in Nabatieh Governorate on 4 May 2026 triggered new displacement and casualties even while aid was being delivered. Humanitarian actors including IFRC have lost staff in southern Lebanon, and Lebanese Red Cross volunteers are asking for protection while performing ambulance missions (IFRC / UN News, May 2026).","['humanitarian', 'security']","['humanitarian access', 'Flash Appeal', 'underfunding', 'OCHA', 'UNHCR', 'aid delivery', 'southern Lebanon access', 'humanitarian workers at risk']","['southern Lebanon', 'Nabatieh', 'Bekaa Valley', 'Litani River zone']",high,current
