risk_id,title,summary,themes,keywords,locations,severity,time_horizon
GIN-001,Dissolution of 40 Political Parties Accelerates Single-Party Consolidation,"In March 2026, Guinea's government dissolved 40 political parties via late-night decree, including the three main opposition groups: the UFDG, RPG, and UFR, citing 'failure to fulfil obligations,' and immediately confiscating their assets (Africanews, March 8 2026). Opposition and civil society leaders condemned the move as the 'final act of a true political farce' aimed at establishing a one-party state (Africanews, March 8 2026). This follows President Doumbouya's January 2026 inauguration after winning 86.7% of the vote in a December 2025 election from which all major opposition leaders were barred (AP/PBS, January 5 2026). The African Union expressed 'deep concern' and ECOWAS is reportedly considering whether further action is warranted, while Western governments including the US and France have voiced disapproval (Reuters via politics-government.news-articles.net, March 9 2026).","['governance', 'political']","['opposition dissolution', 'political parties', 'authoritarianism', 'Doumbouya', 'one-party state', 'UFDG', 'RPG', 'civil liberties']","['Conakry', 'nationwide']",high,current
GIN-002,Systematic Enforced Disappearances and Targeted Abductions of Critics,"As of March 2026, enforced disappearances of political opponents, journalists, and civil society figures remain a systemic and escalating practice; civil society organization Turn the Page counted approximately 20 victims of forced disappearances since 2023 (AFP via fox21online.com, March 2026). FNDC activists Oumar Sylla and Mamadou Billo Bah have been missing since July 2024 with no credible investigation, while in February 2025 civil society leader Abdoul Sacko was abducted, tortured, and found 60 km from Conakry (HRW, February 2025). The pattern has extended to family members of exiled critics: in late 2025, four relatives of singer Elie Kamano, including two children, were kidnapped, and a journalist's elderly father was abducted (AFP via fox21online.com, March 2026). OHCHR and multiple UN special rapporteurs have repeatedly called on Guinean authorities to reveal the fate of the disappeared and conduct transparent investigations (OHCHR, October 2024).","['security', 'governance', 'social']","['enforced disappearance', 'arbitrary detention', 'torture', 'FNDC', 'Oumar Sylla', 'Abdoul Sacko', 'impunity', 'civil society repression']","['Conakry', 'nationwide']",high,current
GIN-003,Shrinking Civic and Media Space Under Electoral Authoritarianism,"Guinea plummeted 25 places in the 2025 World Press Freedom Index, the largest single-year fall globally, with independent outlets having their licenses revoked and journalists detained or driven into self-censorship (IPS/CIVICUS, January 2026). RSF documented that in May 2024 authorities illegally censored four radio stations and two private TV channels, and investigative journalist Habib Marouane Camara has been missing since his December 2024 abduction by men in uniform (RSF, Guinea country page). The junta has restricted internet access and the military has used enforced disappearances as a tool to silence media critics, with journalists who 'speak freely facing threats of death or abduction' (RSF, Guinea country page). These conditions mean there is no independent media ecosystem capable of scrutinizing upcoming legislative elections or holding the government accountable.","['governance', 'political', 'social']","['press freedom', 'media crackdown', 'journalists', 'RSF', 'internet restriction', 'self-censorship', 'civic space', 'independent media']","['Conakry', 'nationwide']",high,current
GIN-004,Militarization of Governance and Security Force Impunity,"The Doumbouya administration has systematically replaced civilian institutions with military-controlled bodies: in 2022 all 34 civilian prefects were replaced by military officers, and in 2024 all 342 elected municipal councils were dissolved and their 3,000 members directly appointed (Africa Center for Strategic Studies, December 2025). Since the protest ban imposed in May 2022, security forces have used tear gas and live ammunition against demonstrators, killing at least 59 people including at least 20 in 2024 alone, with no accountability for perpetrators (HRW World Report 2025). The new constitution provides amnesty for junta leaders and allows the president to appoint one-third of the Senate from regional councils already filled with military officers, institutionalizing military dominance (Africa Center for Strategic Studies, December 2025). The Guinean bar association has gone on strike to protest arbitrary arrests and unlawful detentions, reflecting the deterioration of the rule of law (Africa Center for Strategic Studies, December 2025).","['governance', 'security']","['militarization', 'security forces', 'impunity', 'protest ban', 'extrajudicial killings', 'junta', 'rule of law', 'constitutional reform']","['Conakry', 'nationwide']",high,current
GIN-005,Jihadist Spillover Risk from Mali Along Guinea's Northern Border,"JNIM, the al-Qaeda-affiliated jihadist coalition, has increased activity along the Mali-Guinea border since 2024, with two dozen violent extremist incidents recorded in Mali within 50 km of Guinea's border in regions where little to no activity existed previously (Africa Center for Strategic Studies/Critical Threats, 2025). JNIM attacks in western Mali have reached within 50 km of the Guinean border, and analysts warn the group may use strengthened support zones in southern Mali to expand into Guinea (Critical Threats, November 2025). The displacement of Malian conflict-affected populations into Guinea further compounds border instability (Africa Center for Strategic Studies, January 2026). Guinea's security cooperation capacity is constrained by its alignment with Sahelian juntas and limited engagement with Western counterterrorism frameworks, creating an intelligence gap.","['security', 'displacement']","['JNIM', 'jihadist', 'Mali border', 'spillover', 'cross-border threat', 'violent extremism', 'Sahel', 'security cooperation']","['Guinea-Mali border region', 'northern Guinea', 'Haute-Guinee']",medium,3-12m
GIN-006,Food Insecurity and Chronic Poverty Amid Mining-Led Growth Inequality,"Over 21.8% of Guinean households struggle with food insecurity, and more than half the population lives below the $3.65-a-day poverty line; between 2019 and 2024, the poverty rate rose 7.0 percentage points, pushing 1.8 million additional people into poverty despite robust GDP growth averaging 5.1% (World Bank Guinea Economic Update, 2025). Guinea is listed among the countries most at risk during the 2026 lean season, with up to 52.8 million people regionally projected to face acute food insecurity (FAO/Cadre Harmonise via fundsforNGOs, January 2026). Guinea is heavily dependent on rice imports, which represent 40% of all food imports, making the country vulnerable to global price shocks and supply disruptions (WFP, Guinea Country Strategic Plan 2024-2029). The IMF has warned that Simandou mining windfalls must be invested in education and infrastructure to meaningfully reduce poverty, but the current governance environment raises transparency concerns (Mongabay, January 2026).","['humanitarian', 'economy', 'social']","['food insecurity', 'poverty', 'malnutrition', 'lean season', 'rice imports', 'income inequality', 'WFP', 'mining growth']","['nationwide', 'rural areas']",high,current
GIN-007,Simandou Mining Revenue Governance and Resource Nationalism Risk,"Guinea's $23 billion Simandou iron ore project — the world's largest untapped iron ore reserve, 75% Chinese-owned — shipped its first cargo in December 2025, with 2026 marking the first full year of exports expected to eventually boost GDP by 26% by 2030 per IMF projections (Mongabay, January 2026; PBS/AP, January 2026). However, a broad cancellation of mining permits across multiple commodities in 2025 affected compliant and non-compliant operators alike, triggering investor-state disputes and increasing legal and political risk (Gowling WLG/Africa-legal.com, February 2026). Resource nationalism pressures are growing regionally, with neighboring Mali and Burkina Faso's fiscal recalibrations reinforcing the political viability of similar measures in Guinea (Gowling WLG, February 2026). Governance of Simandou revenues — including a promised sovereign wealth fund — remains opaque, raising concerns that windfall gains will not translate to poverty reduction (Mongabay, January 2026).","['economy', 'governance']","['Simandou', 'iron ore', 'mining governance', 'resource nationalism', 'China', 'permit cancellations', 'sovereign wealth fund', 'investor risk']","['Simandou (Guinee Forestiere region)', 'Morébaya port', 'nationwide']",medium,0-3m
GIN-008,Russia Geopolitical Entanglement and Erosion of Western Partnership Space,"Guinea under Doumbouya has diversified geopolitical partnerships in ways that complicate engagement with Western development actors: the Doumbouya junta has facilitated Russian arms shipments from Conakry to landlocked Sahelian juntas, while Russia maintains ongoing diplomatic and economic engagement with Conakry, including a high-level meeting between the Russian Ambassador and the Minister of Plan in April 2026 (Africa Center for Strategic Studies, December 2025; Pravda Guinea/Sputnik Africa, April 2026). While ECOWAS lifted all sanctions on Guinea in January 2026 and the AU restored Guinea's full membership, this normalization was criticized as legitimizing an electoral autocracy without meaningful democratic accountability (Amani Africa, January 2026; Carnegie Endowment, January 2026). The reintegration has reopened avenues for financing from multilateral bodies including the IFC, but human rights conditions imposed by Western partners may create friction, particularly given Guinea's continued suppression of civil society and media (Gowling WLG, January 2026). Development actors face the risk that engagement on governance reform will be rebuffed given the regime's consolidated political control.","['political', 'governance', 'economy']","['Russia', 'geopolitics', 'ECOWAS sanctions', 'AU reintegration', 'Western engagement', 'development partners', 'IFC', 'normalization']","['Conakry', 'nationwide']",medium,0-3m
GIN-009,Legislative Elections Risk and Continued Political Exclusion,"ECOWAS and the AU urged Guinea to pursue inclusive national dialogue ahead of upcoming legislative elections when lifting sanctions in January 2026 (APA News/FrontPageAfrica, January 2026). The dissolution of 40 political parties in March 2026, including all major opposition groups, and the junta's history of replacing all elected councils with military appointees means the legislative election environment will be structurally exclusionary (Africanews, March 2026; Africa Center for Strategic Studies, December 2025). International observers noted the December 2025 presidential election was conducted without significant opposition after all major leaders were barred, receiving 86.7% for Doumbouya in a non-competitive race (Washington Times, January 2026). The absence of a credible opposition political infrastructure risks producing legislative elections that further entrench one-party rule and undermine any social contract between the government and citizenry.","['political', 'governance']","['legislative elections', 'opposition exclusion', 'political parties', 'electoral process', 'ECOWAS', 'democracy deficit', 'political inclusion', 'Forces Vives']","['nationwide', 'Conakry']",high,3-12m
GIN-010,Conflict-Driven and Climate-Exacerbated Displacement Pressures,"JNIM's expansion into western Mali and resulting insecurity is increasing forced displacement flows toward Guinea's borders, as the growing FLM threat in western Mali has caused many to seek refuge in neighboring countries including Guinea (Africa Center for Strategic Studies, January 2026). Guinea's porous northern borders and weak security apparatus make it vulnerable to transnational threats and to absorbing displacement from the broader Sahel conflict zone (Peace News Network, 2025). Climate-related shocks — including flooding and erratic rainfall — compound food insecurity and rural livelihood displacement within Guinea, with the Notre Dame Global Adaptation Initiative ranking Guinea the 24th most climate-vulnerable country globally (Borgen Project, October 2024). Internal displacement data from IDMC/IOM specific to Guinea within the 2026 review period was not available at time of writing, but regional trends indicate growing pressure.","['displacement', 'humanitarian', 'environment']","['displacement', 'refugees', 'Mali conflict spillover', 'climate vulnerability', 'flooding', 'border communities', 'JNIM', 'food security']","['northern Guinea', 'Guinea-Mali border', 'rural areas nationwide']",medium,0-3m
